,Age,Pclass,Survived
0,22.0,3,1
1,38.0,1,0
2,26.0,3,0
3,35.0,1,1
4,35.0,3,1
6,54.0,1,0
7,2.0,3,0
8,27.0,3,1
9,14.0,2,1
10,4.0,3,0
11,58.0,1,0
12,20.0,3,1
13,39.0,3,1
14,14.0,3,0
15,55.0,2,0
16,2.0,3,1
18,31.0,3,0
20,35.0,2,1
21,34.0,2,0
22,15.0,3,1
23,28.0,1,0
24,8.0,3,1
25,38.0,3,1
27,19.0,1,0
30,40.0,1,1
33,66.0,2,0
34,28.0,1,1
35,42.0,1,0
37,21.0,3,0
38,18.0,3,1
39,14.0,3,1
40,40.0,3,0
41,27.0,2,1
43,3.0,2,0
44,19.0,3,0
49,18.0,3,1
50,7.0,3,0
51,21.0,3,1
52,49.0,1,0
53,29.0,2,1
54,65.0,1,1
56,21.0,2,0
57,28.5,3,1
58,5.0,2,0
59,11.0,3,1
60,22.0,3,0
61,38.0,1,0
62,45.0,1,1
63,4.0,3,0
66,29.0,2,1
67,19.0,3,1
68,17.0,3,0
69,26.0,3,1
70,32.0,2,0
71,16.0,3,0
72,21.0,2,1
73,26.0,3,1
74,32.0,3,0
75,25.0,3,1
78,0.83,2,0
79,30.0,3,1
80,22.0,3,0
81,29.0,3,1
83,28.0,1,0
84,17.0,2,0
85,33.0,3,1
86,16.0,3,0
88,23.0,1,1
89,24.0,3,1
90,29.0,3,0
91,20.0,3,1
92,46.0,1,0
93,26.0,3,1
94,59.0,3,0
96,71.0,1,1
97,23.0,1,0
98,34.0,2,0
99,34.0,2,1
100,28.0,3,0
102,21.0,1,1
103,33.0,3,1
104,37.0,3,0
105,28.0,3,1
106,21.0,3,0
108,38.0,3,1
110,47.0,1,0
111,14.5,3,0
112,22.0,3,1
113,20.0,3,1
114,17.0,3,0
115,21.0,3,1
116,70.5,3,0
117,29.0,2,0
118,24.0,1,1
119,2.0,3,1
120,21.0,2,0
122,32.5,2,0
123,32.5,2,1
124,54.0,1,0
125,12.0,3,1
127,24.0,3,1
129,45.0,3,0
130,33.0,3,1
131,20.0,3,0
132,47.0,3,1
133,29.0,2,0
134,25.0,2,0
135,23.0,2,1
136,19.0,1,1
137,37.0,1,0
138,16.0,3,1
139,24.0,1,0
141,22.0,3,1
142,24.0,3,0
143,19.0,3,1
144,18.0,2,0
145,19.0,2,1
146,27.0,3,0
147,9.0,3,0
148,36.5,2,1
149,42.0,2,1
150,51.0,2,0
151,22.0,1,1
152,55.5,3,0
153,40.5,3,1
155,51.0,1,0
156,16.0,3,1
157,30.0,3,0
160,44.0,3,0
161,40.0,2,1
162,26.0,3,1
163,17.0,3,0
164,1.0,3,1
165,9.0,3,0
167,45.0,3,0
169,28.0,3,1
170,61.0,1,1
171,4.0,3,0
172,1.0,3,1
173,21.0,3,0
174,56.0,1,1
175,18.0,3,0
177,50.0,1,1
178,30.0,2,0
179,36.0,3,1
182,9.0,3,0
183,1.0,2,1
184,4.0,3,0
187,45.0,1,1
188,40.0,3,0
189,36.0,3,0
190,32.0,2,1
191,19.0,2,0
192,19.0,3,1
193,3.0,2,0
194,44.0,1,1
195,58.0,1,1
197,42.0,3,0
199,24.0,2,0
200,28.0,3,1
202,34.0,3,1
203,45.5,3,0
204,18.0,3,1
205,2.0,3,0
206,32.0,3,1
207,26.0,3,0
208,16.0,3,1
209,40.0,1,0
210,24.0,3,1
211,35.0,2,0
212,22.0,3,1
213,30.0,2,0
215,31.0,1,1
216,27.0,3,0
217,42.0,2,1
218,32.0,1,0
219,30.0,2,1
220,16.0,3,0
221,27.0,2,1
222,51.0,3,0
224,38.0,1,1
225,22.0,3,0
226,19.0,2,1
227,20.5,3,0
228,18.0,2,0
230,35.0,1,1
231,29.0,3,0
232,59.0,2,1
233,5.0,3,1
234,24.0,2,0
236,44.0,2,1
237,8.0,2,0
238,19.0,2,0
239,33.0,2,1
242,29.0,2,0
243,22.0,3,1
244,30.0,3,0
245,44.0,1,1
246,25.0,3,0
247,24.0,2,1
248,37.0,1,1
249,54.0,2,0
251,29.0,3,1
252,62.0,1,0
253,30.0,3,1
254,41.0,3,0
255,29.0,3,1
257,30.0,1,0
258,35.0,1,1
259,50.0,2,0
261,3.0,3,0
262,52.0,1,1
263,40.0,1,1
265,36.0,2,0
266,16.0,3,1
267,25.0,3,0
268,58.0,1,0
269,35.0,1,1
271,25.0,3,1
272,41.0,2,0
273,37.0,1,1
275,63.0,1,0
276,45.0,3,0
278,7.0,3,1
279,35.0,3,1
280,65.0,3,0
281,28.0,3,1
282,16.0,3,0
283,19.0,3,1
285,33.0,3,0
286,30.0,3,1
287,22.0,3,0
288,42.0,2,1
289,22.0,3,0
290,26.0,1,0
291,19.0,1,1
292,36.0,2,1
293,24.0,3,0
294,24.0,3,1
296,23.5,3,0
297,2.0,1,0
299,50.0,1,1
302,19.0,3,1
305,0.92,1,0
307,17.0,1,0
308,30.0,2,1
309,30.0,1,1
310,24.0,1,0
311,18.0,1,1
312,26.0,2,0
313,28.0,3,0
314,43.0,2,1
315,26.0,3,1
316,24.0,2,0
317,54.0,2,1
318,31.0,1,0
319,40.0,1,1
320,22.0,3,0
321,27.0,3,0
322,30.0,2,1
323,22.0,2,1
325,36.0,1,0
326,61.0,3,1
327,36.0,2,0
328,31.0,3,0
329,16.0,1,1
331,45.5,1,1
332,38.0,1,0
333,16.0,3,1
336,29.0,1,0
337,41.0,1,1
338,45.0,3,0
339,45.0,1,1
340,2.0,2,0
341,24.0,1,0
342,28.0,2,1
343,25.0,2,0
344,36.0,2,1
345,24.0,2,1
346,40.0,2,0
348,3.0,3,0
349,42.0,3,1
350,23.0,3,1
352,15.0,3,0
353,25.0,3,1
355,28.0,3,0
356,22.0,1,1
357,38.0,2,0
360,40.0,3,1
361,29.0,2,0
362,45.0,3,1
363,35.0,3,0
365,30.0,3,0
366,60.0,1,1
369,24.0,1,0
370,25.0,1,1
371,18.0,3,1
372,19.0,3,0
373,22.0,1,1
374,3.0,3,0
376,22.0,3,1
377,27.0,1,0
378,20.0,3,0
379,19.0,3,1
380,42.0,1,1
381,1.0,3,0
382,32.0,3,1
383,35.0,1,0
385,18.0,2,0
386,1.0,3,1
387,36.0,2,0
389,17.0,2,1
390,36.0,1,0
391,21.0,3,1
392,28.0,3,1
393,23.0,1,0
394,24.0,3,0
395,22.0,3,1
396,31.0,3,1
397,46.0,2,0
398,23.0,2,1
399,28.0,2,0
400,39.0,3,1
401,26.0,3,0
402,21.0,3,1
403,28.0,3,0
404,20.0,3,1
405,34.0,2,0
406,51.0,3,1
407,3.0,2,0
408,21.0,3,1
412,33.0,1,0
414,44.0,3,1
416,34.0,2,0
417,18.0,2,0
418,30.0,2,1
419,10.0,3,1
421,21.0,3,0
422,29.0,3,0
423,28.0,3,1
424,18.0,3,1
426,28.0,2,0
427,19.0,2,1
429,32.0,3,0
430,28.0,1,0
432,42.0,2,1
433,17.0,3,0
434,50.0,1,1
435,14.0,1,0
436,21.0,3,1
437,24.0,2,0
438,64.0,1,1
439,31.0,2,1
440,45.0,2,0
441,20.0,3,1
442,25.0,3,0
443,28.0,2,0
445,4.0,1,1
446,13.0,2,1
447,34.0,1,0
448,5.0,3,0
449,52.0,1,1
450,36.0,2,1
452,30.0,1,0
453,49.0,1,1
455,29.0,3,0
456,65.0,1,1
458,50.0,2,0
460,48.0,1,1
461,34.0,3,0
462,47.0,1,0
463,48.0,2,1
465,38.0,3,1
467,56.0,1,0
469,0.75,3,1
471,38.0,3,0
472,33.0,2,0
473,23.0,2,1
474,22.0,3,0
476,34.0,2,1
477,29.0,3,1
478,22.0,3,0
479,2.0,3,0
480,9.0,3,1
482,50.0,3,1
483,63.0,3,0
484,25.0,1,0
486,35.0,1,1
487,58.0,1,0
488,30.0,3,1
489,9.0,3,1
491,21.0,3,0
492,55.0,1,1
493,71.0,1,0
494,21.0,3,0
496,54.0,1,1
498,25.0,1,1
499,24.0,3,0
500,17.0,3,0
501,21.0,3,1
503,37.0,3,1
504,16.0,1,0
505,18.0,1,1
506,33.0,2,0
508,28.0,3,1
509,26.0,3,0
510,29.0,3,1
512,36.0,1,0
513,54.0,1,1
514,24.0,3,0
515,47.0,1,1
516,34.0,2,0
518,36.0,2,1
519,32.0,3,0
520,30.0,1,0
521,22.0,3,1
523,44.0,1,0
525,40.5,3,1
526,50.0,2,0
528,39.0,3,1
529,23.0,2,0
530,2.0,2,1
532,17.0,3,0
534,30.0,3,1
535,7.0,2,0
536,45.0,1,1
537,30.0,1,1
539,22.0,1,0
540,36.0,1,1
541,9.0,3,0
542,11.0,3,1
543,32.0,2,0
544,50.0,1,0
545,64.0,1,1
546,19.0,2,0
548,33.0,3,1
549,8.0,2,1
550,17.0,1,0
551,27.0,2,0
553,22.0,3,1
554,22.0,3,1
555,62.0,1,0
556,48.0,1,0
558,39.0,1,1
559,36.0,3,1
561,40.0,3,0
562,28.0,2,1
565,24.0,3,0
566,19.0,3,1
567,29.0,3,0
569,32.0,3,1
570,62.0,2,0
571,53.0,1,1
572,36.0,1,0
574,16.0,3,1
575,19.0,3,0
576,34.0,2,1
577,39.0,1,0
579,32.0,3,1
580,25.0,2,0
581,39.0,1,1
582,54.0,2,0
583,36.0,1,1
585,18.0,1,0
586,47.0,2,0
587,60.0,1,1
588,22.0,3,1
590,35.0,3,0
591,52.0,1,0
592,47.0,3,1
594,37.0,2,0
595,36.0,3,1
597,49.0,3,1
599,49.0,1,0
600,24.0,2,1
603,44.0,3,0
604,35.0,1,1
605,36.0,3,0
606,30.0,3,1
607,27.0,1,0
608,22.0,2,0
609,40.0,1,1
610,39.0,3,1
614,35.0,3,0
615,24.0,2,1
616,34.0,3,0
617,26.0,3,0
618,4.0,2,1
619,26.0,2,0
620,27.0,3,1
621,42.0,1,1
622,20.0,3,0
623,21.0,3,0
624,21.0,3,1
625,61.0,1,0
626,57.0,2,1
627,21.0,1,0
628,26.0,3,1
630,80.0,1,1
631,51.0,3,0
632,32.0,1,1
634,9.0,3,0
635,28.0,2,1
636,32.0,3,0
637,31.0,2,1
638,41.0,3,0
640,20.0,3,0
641,24.0,1,1
642,2.0,3,1
644,0.75,3,0
645,48.0,1,0
646,19.0,3,1
647,56.0,1,0
649,23.0,3,1
651,18.0,2,1
652,21.0,3,0
654,18.0,3,0
655,24.0,2,1
657,32.0,3,1
658,23.0,2,0
659,58.0,1,0
660,50.0,1,1
661,40.0,3,0
662,47.0,1,1
663,36.0,3,1
664,20.0,3,0
665,32.0,2,1
666,25.0,2,0
668,43.0,3,1
670,40.0,2,0
671,31.0,1,0
672,70.0,2,1
673,31.0,2,1
675,18.0,3,0
676,24.5,3,0
677,18.0,3,1
678,43.0,3,1
679,36.0,1,0
681,27.0,1,0
682,20.0,3,1
683,14.0,3,0
684,60.0,2,1
685,25.0,2,1
686,14.0,3,0
687,19.0,3,1
688,18.0,3,0
689,15.0,1,0
690,31.0,1,1
691,4.0,3,0
693,25.0,3,1
694,60.0,1,0
695,52.0,2,1
696,44.0,3,1
698,49.0,1,0
699,42.0,3,1
700,18.0,1,0
701,35.0,1,0
702,18.0,3,1
703,25.0,3,0
704,26.0,3,1
705,39.0,2,0
706,45.0,2,1
707,42.0,1,1
708,22.0,1,0
710,24.0,1,1
712,48.0,1,0
713,29.0,3,0
714,52.0,2,1
715,19.0,3,1
716,38.0,1,0
717,27.0,2,1
719,33.0,3,0
720,6.0,2,0
721,17.0,3,1
722,34.0,2,1
723,50.0,2,0
724,27.0,1,1
725,20.0,3,0
726,30.0,2,0
728,25.0,2,1
729,25.0,3,1
730,29.0,1,0
731,11.0,3,1
733,23.0,2,0
734,23.0,2,1
735,28.5,3,0
736,48.0,3,0
737,35.0,1,1
741,36.0,1,0
742,21.0,1,1
743,24.0,3,0
744,31.0,3,1
745,70.0,1,1
746,16.0,3,0
747,30.0,2,1
748,19.0,1,0
749,31.0,3,0
750,4.0,2,1
751,6.0,3,0
752,33.0,3,1
753,23.0,3,1
754,48.0,2,0
755,0.67,2,0
756,28.0,3,1
757,18.0,2,1
758,34.0,3,0
759,33.0,1,1
761,41.0,3,0
762,20.0,3,0
763,36.0,1,1
764,16.0,3,0
765,51.0,1,1
767,30.5,3,1
769,32.0,3,0
770,24.0,3,0
771,48.0,3,1
772,57.0,2,1
774,54.0,2,0
775,18.0,3,0
777,5.0,3,1
779,43.0,1,1
780,13.0,3,0
781,17.0,1,0
782,29.0,1,1
784,25.0,3,0
785,25.0,3,1
786,18.0,3,1
787,8.0,3,0
788,1.0,3,1
789,46.0,1,0
791,16.0,2,0
794,25.0,3,1
795,39.0,2,1
796,49.0,1,0
797,31.0,3,1
798,30.0,3,0
799,30.0,3,1
800,34.0,2,0
801,31.0,2,1
802,11.0,1,0
803,0.42,3,1
804,27.0,3,0
805,31.0,3,0
806,39.0,1,1
807,18.0,3,1
808,39.0,2,0
809,33.0,1,1
810,26.0,3,0
811,39.0,3,1
812,35.0,2,0
813,6.0,3,1
814,30.5,3,0
816,23.0,3,1
817,31.0,2,0
818,43.0,3,0
819,10.0,3,1
820,52.0,1,1
821,27.0,3,0
822,38.0,1,0
823,27.0,3,1
824,2.0,3,1
827,1.0,2,0
829,62.0,1,0
830,15.0,3,1
831,0.83,2,1
833,23.0,3,0
834,18.0,3,0
835,39.0,1,1
836,21.0,3,1
838,32.0,3,0
840,20.0,3,1
841,16.0,2,0
842,30.0,1,1
843,34.5,3,0
844,17.0,3,1
845,42.0,3,0
847,35.0,3,1
848,28.0,2,0
850,4.0,3,1
851,74.0,3,0
852,9.0,3,1
853,16.0,1,0
854,44.0,2,0
855,18.0,3,1
856,45.0,1,1
857,51.0,1,0
858,24.0,3,1
860,41.0,3,0
861,21.0,2,1
862,48.0,1,0
864,24.0,2,0
865,42.0,2,1
866,27.0,2,1
867,31.0,1,0
869,4.0,3,1
870,26.0,3,0
871,47.0,1,0
872,33.0,1,1
873,47.0,3,1
874,28.0,2,0
875,15.0,3,0
876,20.0,3,1
877,19.0,3,1
879,56.0,1,0
880,25.0,2,1
881,33.0,3,0
882,22.0,3,0
883,28.0,2,1
884,25.0,3,1
885,39.0,3,0
886,27.0,2,1
887,19.0,1,0
889,26.0,1,0
890,32.0,3,1
